"vague","grappe","s02q01","s02q02","s02q02_autre","s02q03","s02q03_unite","s02q04__0","s02q04__1","s02q04__2","s02q04__3","s02q04__4","s02q04__5","s02q04__6","s02q04__7","s02q04__8","s02q04__9","s02q04__10","s02q04__11","s02q04_autre"
2,4,2,1,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,4,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,1,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,4,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,4,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,4,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,4,,1,2,0,1,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,0,0,0,0,1,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,4,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,1,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"pas encore ouvert"
2,6,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,1,,15,1,0,0,0,0,1,0,0,0,0,0,0,0,
2,6,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,1,,,,,0,0,0,0,0,0,0,0,1,0,0,0,
2,6,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,4,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,4,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,1,,,,,0,0,0,1,0,0,0,0,0,0,0,0,
2,6,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,6,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,7,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,7,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,7,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,4,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,0,0,1,0,0,0,0,0,2,0,0,0,
2,8,2,4,,20,1,0,0,0,0,0,0,0,0,0,1,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,0,0,0,0,0,0,0,0,1,0,0,0,
2,8,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,0,0,0,0,0,0,1,0,0,2,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,0,0,0,0,0,0,0,0,1,0,0,0,
2,8,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,8,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,4,,1,2,0,0,0,0,0,0,0,1,0,0,0,0,
1,9,2,8,"neant",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,8,"pas de route laterite",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,4,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,8,"neant",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,8,"neant",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,1,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,1,,15,1,0,0,0,0,0,0,2,0,0,0,0,1,"assainissement"
1,9,2,8,"neant",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,8,"neant",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,8,"neant",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,2,8,"pas de route bitume",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,0,0,0,0,1,0,0,0,0,0,0,0,
1,9,2,8,"neant",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,9,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,0,0,0,0,0,0,2,0,0,0,0,1,"insecurity"
2,10,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,1,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,4,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,4,,30,1,0,0,0,0,0,0,0,1,0,0,0,0,
2,10,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,8,"AUCUN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,10,2,4,,1,2,0,0,0,0,0,0,0,1,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,1,,10,1,0,0,0,0,1,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,4,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,8,"n'existe pas",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,8,"n'existe pas",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,4,,15,1,0,1,0,0,0,0,0,0,0,0,0,2,"beaucoup de grève"
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,4,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,8,"n'existe pas",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
1,11,2,8,"n'existe pas",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,11,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,4,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,4,,1,2,0,0,0,0,0,0,0,1,0,0,0,0,
2,12,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,4,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,12,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,1,,,,,0,0,0,0,2,0,0,0,0,1,0,0,
1,13,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,8,"il ya pas d autre services sociaux",0,3,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,4,,45,1,0,0,0,0,0,0,0,1,0,0,0,0,
1,13,1,,,,,0,0,0,0,0,0,0,0,0,1,0,2,"il n ya pas de collegue public dans la localite"
1,13,2,1,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,4,,1,2,0,1,0,0,0,0,0,0,0,0,0,2,"pour s'y rendre rendre soit on prend un taxy soit une course clando"
1,13,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,4,,1,2,0,2,0,0,0,0,0,1,0,0,0,0,
1,13,2,4,,1,2,0,1,0,0,0,0,0,0,0,0,0,0,
1,13,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,1,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,8,"pas de route en laterine",0,1,0,0,0,0,0,0,0,0,0,0,0,1,"pas de route en laterine"
1,13,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,4,,1,2,0,1,0,0,0,0,0,0,0,2,0,0,
1,13,2,8,"aucun",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,2,1,,15,1,0,0,0,0,1,0,0,0,0,0,0,0,
1,13,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,13,1,,,,,0,0,0,0,0,0,0,0,0,1,0,2,"les ecoles de mon quartier sont des ecoles privees"
1,13,1,,,,,0,0,0,2,0,0,0,0,1,0,0,0,
2,14,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,1,,,,,0,0,0,0,0,0,0,0,1,0,0,0,
2,14,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,4,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,4,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,4,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,1,,,,,0,0,0,1,2,0,0,0,0,0,0,0,
2,14,2,4,,15,1,0,0,0,0,0,0,0,1,0,0,0,0,
2,14,2,4,,1,2,0,1,0,0,0,0,0,0,0,0,0,0,
2,14,2,1,,20,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,1,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,4,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,
2,14,1,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"insuffisance d'ecole dans ce quartier"
2,14,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,2,4,,1,2,0,1,0,0,0,0,0,0,0,0,0,0,
2,14,2,1,,15,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,1,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"insuffisance de classes dans ce quartier"
2,14,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,14,1,,,,,0,0,0,0,0,0,1,0,0,0,0,0,
2,14,2,8,"rien",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,0,0,0,0,2,0,0,0,0,1,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,0,0,0,0,1,0,0,0,0,2,0,0,
1,15,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,0,1,0,0,0,0,0,0,0,2,0,0,
1,15,1,,,,,0,2,0,0,0,0,0,0,0,1,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,0,1,0,0,0,0,0,0,0,2,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,0,0,0,0,1,0,0,0,0,2,0,0,
1,15,2,4,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,0,0,0,0,0,0,1,0,0,2,0,0,
1,15,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
1,15,1,,,,,0,0,0,0,0,0,1,0,0,2,0,0,
1,15,1,,,,,0,1,0,0,0,0,0,2,0,0,0,0,
