"vague","grappe","s00q00","s00q02","s00q03","s00q04__1","s00q04__2","s00q04__3","s00q04__4","s00q04__5","s00q04__6","s00q04__7","s00q04__8","s00q04__9","s00q04__10","s00q04__11","s00q04__12","s00q04_autre","s00q05","s00q06"
1,15,5,1,48,0,0,0,1,0,0,0,0,0,0,0,0,,32,4
2,16,2,2,72,0,0,0,0,0,0,0,0,1,0,0,0,"epouse du chef de quartier",48,1
2,16,4,1,70,0,0,0,0,0,0,1,0,0,0,0,0,,20,1
2,16,3,2,75,0,0,0,0,0,0,0,0,0,0,1,0,,50,3
2,16,1,1,87,1,0,0,0,0,0,0,0,0,0,0,0,,52,1
1,17,3,1,45,0,1,0,0,0,0,0,0,0,0,0,0,,25,5
1,17,1,1,75,1,0,0,0,0,0,0,0,0,0,0,0,,45,5
1,17,2,2,79,0,0,0,0,0,0,0,0,0,0,1,0,,40,2
2,18,1,1,33,0,0,0,0,0,0,0,0,1,0,0,0,"Adjoint Chef de Quartier",33,5
2,18,2,1,50,0,0,0,0,0,0,1,0,0,0,0,0,,50,3
2,18,3,2,56,0,0,0,0,0,0,0,0,0,0,1,0,,56,3
2,18,5,1,34,0,0,0,0,0,0,0,0,1,0,0,0,"commercant",34,3
2,18,4,1,50,0,0,0,0,0,0,0,0,1,0,0,0,"President association football",50,5
1,19,4,2,40,0,0,0,0,0,0,0,2,0,0,1,0,,21,3
1,19,3,1,70,0,0,0,0,0,0,1,0,0,0,0,0,,21,4
1,19,2,1,73,0,1,0,0,0,0,0,0,0,0,0,0,,28,5
1,19,1,2,65,1,0,0,0,0,0,0,0,0,0,0,0,,21,2
2,20,1,1,72,1,0,0,0,0,0,0,0,0,0,0,0,,22,1
2,20,2,1,72,0,0,0,0,0,0,1,0,0,0,0,0,,4,1
1,21,1,1,65,1,0,0,0,0,0,0,0,0,0,0,0,,65,3
1,21,2,1,51,0,1,0,0,0,0,0,0,0,0,0,0,,51,3
2,22,1,1,70,1,0,0,0,0,0,0,0,0,0,0,0,,28,3
2,22,3,2,72,0,0,0,0,0,0,0,0,0,0,1,0,,72,1
2,22,4,2,56,0,0,0,0,0,0,0,0,0,0,1,0,,56,2
2,22,2,1,57,0,0,0,0,0,0,1,0,0,0,0,0,,57,2
1,23,3,2,42,0,0,0,0,0,0,0,0,1,0,0,0,"conseillère municipale",33,5
1,23,5,1,65,0,0,0,0,0,0,0,0,1,0,0,0,"secrétaire général de l'Association dès habitants de sacré cœur  2",35,5
1,23,7,2,64,0,1,0,0,0,0,0,0,0,0,0,0,,36,5
1,23,4,1,48,0,0,0,0,0,0,0,0,1,0,0,0,"membre de l'ASC Sacré Coeur",34,5
1,23,6,2,66,0,0,0,0,0,0,0,0,0,1,0,0,,27,3
1,23,2,1,80,1,0,0,0,0,0,0,0,0,0,0,0,,37,3
2,24,4,1,33,0,0,0,0,0,0,0,0,1,0,0,0,"représentant de l'ASC",33,4
2,24,3,1,25,0,0,0,0,0,0,0,0,1,0,0,0,"représentant des jeunes du quartier",25,5
2,24,2,2,60,0,0,0,0,0,0,0,0,0,0,1,0,,32,4
2,24,1,1,67,1,0,0,0,0,0,0,0,0,0,0,0,,57,4
1,25,4,1,59,0,0,0,0,0,0,0,0,1,0,0,0,"femme politicienne",59,1
1,25,1,1,82,1,0,0,0,0,0,0,0,0,0,0,0,,45,1
1,25,2,2,59,0,0,0,0,0,0,0,0,0,0,1,0,,53,1
1,25,5,1,38,0,0,0,0,0,0,0,0,1,0,0,0,"presidente des jeunes garçons de taiba2",38,2
1,25,6,2,36,0,0,0,0,0,0,0,0,1,0,0,0,"presidente des jeunes filles de taiba 2",36,3
1,25,3,1,25,0,0,0,0,0,0,0,0,1,0,0,0,"acteur de development",25,5
2,26,9,1,21,0,0,0,0,0,0,0,0,1,0,0,0,"Membre du comité de développement du quartier",21,3
2,26,8,1,21,0,0,0,0,0,0,0,0,1,0,0,0,"Membre du comité de développement du quartier",21,4
2,26,13,2,47,0,0,0,1,0,0,0,0,0,0,0,0,,23,5
2,26,10,1,26,0,0,0,0,0,0,0,0,1,0,0,0,"Représentant des jeunes du quartier",26,5
2,26,11,1,21,0,0,0,0,0,0,0,0,1,0,0,0,"Représentant des jeunes du quartier",19,3
2,26,4,1,24,0,0,0,0,0,0,0,0,1,0,0,0,"Membre du comité de développement du quartier",24,5
2,26,3,1,25,0,0,0,0,0,0,0,0,1,0,0,0,"Membre du comité de développement du quartier",25,5
2,26,5,1,28,0,0,0,0,0,0,0,0,1,0,0,0,"secrétaire général du comité de développement du quartier",28,5
2,26,2,1,23,0,0,0,0,0,0,0,0,1,0,0,0,"Président du comité de développement du quartier",23,5
2,26,1,1,78,1,0,0,0,0,0,0,0,0,0,0,0,,23,5
2,26,7,2,36,0,0,0,0,0,0,0,0,1,0,0,0,"Trésorière générale du comité de développement du quartier",27,3
2,26,12,1,19,0,0,0,0,0,0,0,0,1,0,0,0,"Membre du comité de développement du quartier",12,4
2,26,6,1,29,0,0,0,0,0,0,1,0,0,0,0,0,,11,1
1,27,1,1,69,1,0,0,0,0,0,0,0,0,0,0,0,,37,2
1,27,2,2,64,0,0,0,0,0,0,0,0,0,0,1,0,,27,2
1,27,5,2,55,0,0,0,0,0,0,0,0,1,0,0,0,"présidente des femmes catholique",38,2
1,27,3,2,63,0,0,0,0,0,0,0,0,0,0,1,0,,63,3
1,27,4,2,70,0,0,0,0,0,0,0,0,1,0,0,0,"presidente des femmes",24,1
2,28,1,1,73,1,0,0,0,0,0,0,0,0,0,0,0,,28,5
2,28,2,1,69,0,1,0,0,0,0,0,0,0,0,0,0,,28,3
2,28,5,2,71,0,0,0,0,0,0,0,0,1,0,0,0,"présidente amicale des femmes de HLM GRAND YOFF",28,5
2,28,4,1,72,0,0,0,0,0,0,0,0,1,0,0,0,"Président de la commission de la mosquée du quartier",25,3
2,28,3,1,68,0,0,0,0,0,0,0,0,1,0,0,0,"membre du comité quartier",28,5
2,28,6,2,79,0,0,0,0,0,0,0,0,0,0,1,0,,13,4
1,29,2,2,62,0,0,0,0,0,0,0,0,0,0,1,0,,27,4
1,29,4,1,75,0,0,0,0,0,0,0,0,1,0,0,0,"president des residents",12,5
1,29,6,2,42,0,0,0,0,0,0,0,0,1,0,0,0,"president d'ASC",24,4
1,29,3,1,35,0,0,1,0,0,0,0,0,2,0,0,0,"representant de l'imam",26,5
1,29,5,1,40,0,0,0,0,0,0,1,0,0,0,0,0,,26,5
1,29,1,1,67,1,0,0,0,0,0,0,0,0,0,0,0,,29,5
2,30,1,1,75,1,0,0,0,0,0,0,0,0,0,0,0,,46,4
2,30,3,1,39,0,0,0,0,0,0,0,0,1,0,0,0,"Président ASC de Patte D'oie Builders",39,4
2,30,2,2,69,0,0,0,0,0,0,0,0,1,0,0,0,"Présidente groupement féminin",48,2
1,31,6,1,48,0,1,0,0,0,0,0,0,0,0,0,0,,30,2
1,31,1,1,73,1,0,0,0,0,0,0,0,0,0,0,0,,30,1
1,31,3,2,67,0,0,0,0,0,0,0,0,1,0,0,0,"responsable des femmes",36,2
1,31,5,2,58,0,0,0,0,0,0,0,0,0,0,1,0,,35,2
1,31,4,1,31,0,0,0,0,0,0,0,0,1,0,0,0,"entraîneur de l'équipe ACE",20,2
1,31,2,2,63,0,0,0,0,0,0,0,0,0,0,1,0,,40,3
1,31,7,1,57,0,0,0,0,0,0,0,0,1,0,0,0,"Président comité de gestion d'école",38,1
2,32,1,1,72,1,0,0,0,0,0,0,0,2,0,0,0,"Président des délégués de quartier de la commune des parcelles Assainies",30,3
2,32,3,2,46,0,0,0,0,0,0,0,0,2,0,1,0,"Trésorière adjointe du comité de santé qui polarise parcelles unités 24, 25, 26 et grand medine",32,2
2,32,2,1,70,0,1,0,0,0,0,0,0,2,0,0,0,"les sages du quartier",30,3
2,32,6,1,65,0,0,0,0,0,0,0,0,1,0,0,0,"Président du comité gestion d'école et Président d'ASC Manko",32,3
1,33,5,2,59,0,0,0,0,0,0,0,0,1,0,2,0,"présidente groupement des femmes",38,3
1,33,1,1,85,1,0,0,0,0,0,0,0,0,0,0,0,,22,1
1,33,6,2,41,0,0,0,0,0,0,0,0,1,0,0,0,"habitant du quartier membre de l'association des veuves",9,2
1,33,2,1,76,0,1,0,0,0,0,0,0,0,0,0,0,,19,3
1,33,7,2,36,0,0,0,0,0,0,0,0,1,0,0,0,"membre au bureau de asc du quartier",32,4
1,33,3,2,61,0,0,0,0,0,0,0,0,0,2,1,0,,18,3
1,33,4,2,59,0,1,0,0,0,0,0,0,0,0,2,0,,17,2
2,34,5,2,55,0,0,0,0,0,0,0,0,1,0,0,0,"femme politique",37,4
2,34,3,2,67,0,0,0,0,0,0,0,0,0,0,1,0,,29,2
2,34,7,2,59,0,0,1,0,0,0,0,0,0,0,0,0,,34,3
2,34,2,1,70,0,0,0,0,0,0,1,0,0,0,0,0,,39,1
2,34,4,2,64,0,0,0,0,0,0,0,0,1,0,0,0,"Habitant du quartier",33,2
2,34,1,1,70,1,0,0,0,0,0,0,0,0,0,0,0,,39,1
2,34,6,2,54,0,0,0,0,0,0,0,0,1,0,0,0,"Présidente groupement féminin",22,2
1,35,4,2,55,0,0,0,0,0,0,0,0,1,0,0,0,"présidente groupement des femmes du quartier",24,2
1,35,2,2,75,0,0,0,0,0,0,0,0,0,0,1,0,,24,3
1,35,1,1,87,1,0,0,0,0,0,0,0,0,0,0,0,,24,4
1,35,3,1,34,0,0,0,0,0,0,0,0,1,0,0,0,"représentant des jeunes du quartier",24,5
2,36,2,2,56,0,1,0,0,0,0,0,0,2,0,0,0,"Adjointe au maire",56,5
2,36,1,1,82,1,0,0,0,0,0,0,0,0,0,0,0,,82,5
2,36,3,2,47,0,0,0,0,0,0,0,0,0,0,1,0,,47,3
2,36,4,2,69,0,0,0,0,0,0,0,0,1,0,0,0,"conseil municipal et présidente de groupement féminin",41,5
1,37,8,2,56,0,0,0,0,0,0,0,0,1,0,0,0,"mbotayou djiguen",28,2
1,37,3,2,68,0,0,0,0,0,0,0,0,0,0,1,0,,20,2
1,37,4,1,30,0,0,1,0,0,0,0,0,0,0,0,0,,21,4
1,37,6,2,60,0,0,0,0,0,0,0,0,0,1,0,0,,25,1
1,37,5,1,61,0,0,0,0,0,1,0,0,0,0,0,0,,27,4
1,37,1,1,66,1,0,0,0,0,0,0,0,0,0,0,0,,34,1
1,37,7,2,54,0,0,0,0,0,0,0,0,0,1,0,0,,34,1
1,37,2,1,52,0,0,0,0,0,0,1,0,0,0,0,0,,29,1
1,37,9,2,56,0,0,0,0,0,0,0,0,1,0,0,0,"commerce",10,2
2,38,4,1,55,0,0,0,0,0,0,1,0,0,0,0,0,,35,1
2,38,5,2,55,0,1,0,0,0,0,0,0,0,0,0,0,,30,1
2,38,3,2,47,0,0,0,0,0,0,0,0,0,1,0,0,,32,4
2,38,6,2,52,0,1,0,0,0,0,0,0,0,0,0,0,,27,2
2,38,1,1,68,1,0,0,0,0,0,0,0,0,0,0,0,,38,2
2,38,2,2,59,0,0,0,0,0,0,0,0,0,0,1,0,,26,2
1,39,3,1,43,0,1,0,0,0,0,0,0,0,0,0,0,,9,5
1,39,5,2,45,0,0,0,0,0,0,0,0,1,0,0,0,"groupement des femmes",18,2
1,39,2,1,59,0,0,1,0,0,0,0,0,0,0,0,0,,8,5
1,39,8,2,32,0,0,0,0,0,0,0,0,1,0,0,0,"Responsible des jeunes",9,4
1,39,4,1,43,0,0,1,0,0,0,0,0,0,0,0,0,,9,4
1,39,1,1,68,1,0,0,0,0,2,0,0,0,0,0,0,,10,4
1,39,9,1,61,0,0,0,0,0,0,1,0,0,0,0,0,,12,1
1,39,6,2,67,0,0,0,0,0,0,0,0,1,0,0,0,"presidente du groupement des femmes deDAROU SALAM 6",11,3
1,39,7,2,41,0,0,0,0,0,0,0,0,0,0,1,0,,15,1
2,40,9,1,69,0,0,0,0,0,0,0,0,1,0,0,0,"tresorier de l ecole publique",20,4
2,40,4,1,33,0,0,1,0,0,0,0,0,0,0,0,0,,10,5
2,40,7,1,75,0,0,0,0,0,0,0,0,1,0,0,0,"adjoint delegue",40,1
2,40,2,1,37,1,0,0,0,0,0,0,0,0,0,0,0,,37,1
2,40,6,1,66,0,1,0,0,0,0,0,0,0,0,0,0,,33,1
2,40,3,2,40,0,0,0,0,0,0,0,0,0,0,1,0,,20,4
2,40,5,1,31,0,0,0,0,0,0,0,0,1,0,0,0,"reoresentant parents d eleves",20,5
2,40,1,1,82,1,0,0,0,0,0,0,0,0,0,0,0,,51,2
2,40,8,1,72,0,1,0,0,0,0,0,0,0,0,0,0,,25,4
1,41,4,1,34,0,0,0,0,0,0,0,0,0,1,0,0,,15,3
1,41,6,1,27,0,1,0,0,0,0,0,0,0,0,0,0,,26,5
1,41,1,1,46,1,0,0,0,0,0,0,0,0,0,0,0,,36,2
1,41,5,1,40,0,0,0,0,0,0,1,0,0,0,0,0,,36,1
1,41,8,1,38,0,0,0,0,0,0,0,0,0,1,0,0,,38,2
1,41,7,2,36,0,0,0,0,0,0,0,0,0,1,0,0,,36,2
1,41,3,2,69,0,0,0,0,0,0,0,0,0,0,1,0,,38,1
1,41,2,1,37,0,0,1,0,0,0,0,0,0,0,0,0,,37,5
2,42,2,1,68,0,0,0,0,0,0,0,0,1,0,0,0,"adjoint delegue",30,2
2,42,1,1,68,1,0,0,0,0,0,0,0,0,0,0,0,,35,2
2,42,3,2,63,0,0,0,0,0,0,0,0,1,0,0,0,"gueweul du quartier",20,1
2,42,5,1,67,0,0,0,0,0,0,1,0,0,0,0,0,,10,2
2,42,7,2,67,0,1,0,0,0,0,0,0,0,0,0,0,,36,1
2,42,4,2,50,0,1,0,0,0,0,0,0,0,0,0,0,,30,1
2,42,6,2,50,0,1,0,0,0,0,0,0,0,0,0,0,,30,1
2,42,10,2,35,0,0,0,0,0,0,0,0,0,1,0,0,,10,1
2,42,8,2,35,0,0,0,0,0,0,0,0,0,1,0,0,,10,1
2,42,9,1,67,0,1,0,0,0,0,0,0,0,0,0,0,,32,1
1,43,9,2,46,0,1,0,0,0,0,0,0,0,0,0,0,,17,2
1,43,5,2,52,0,0,0,0,0,0,0,0,0,0,1,0,,32,1
1,43,6,2,30,0,1,0,0,0,0,0,0,0,0,0,0,,8,1
1,43,7,1,42,0,1,0,0,0,0,0,0,0,0,0,0,,19,5
1,43,4,2,30,0,0,0,0,0,0,0,0,1,0,0,0,"Reset communautaire",17,5
1,43,1,1,63,1,0,0,0,0,0,0,0,0,0,0,0,,30,1
1,43,3,1,31,0,0,0,0,0,0,0,0,1,0,0,0,"President ASC",23,2
1,43,2,1,64,0,0,0,0,0,0,0,0,1,0,0,0,"Imam mosquee",26,1
1,43,10,1,35,0,0,0,1,0,0,0,0,0,0,0,0,,2,5
1,43,8,2,40,0,1,0,0,0,0,0,0,0,0,0,0,,20,2
2,44,3,1,68,0,1,0,0,0,0,0,0,0,0,0,0,,38,1
2,44,9,2,49,0,0,0,0,0,0,0,0,0,0,1,0,,40,3
2,44,5,2,35,0,0,0,0,0,0,0,0,0,1,0,0,,30,3
2,44,6,1,55,0,0,0,0,0,0,1,0,0,0,0,0,,55,2
2,44,1,1,72,1,0,0,0,0,0,0,0,0,0,0,0,,65,4
2,44,10,2,32,0,0,0,0,0,0,0,0,0,1,0,0,,10,2
2,44,8,1,48,0,1,0,0,0,0,0,0,0,0,0,0,,35,4
2,44,4,2,45,0,0,0,0,0,0,0,0,0,0,1,0,,42,2
2,44,2,1,68,0,0,0,0,0,0,0,0,1,0,0,0,"adjoint delegue",40,2
2,44,11,2,38,0,0,0,0,0,0,0,0,0,1,0,0,,15,2
2,44,7,1,42,0,0,1,0,0,0,0,0,0,0,0,0,,22,5
1,45,6,1,48,0,0,1,0,0,0,0,0,0,0,0,0,,10,5
1,45,7,1,42,0,0,0,1,0,0,0,0,0,0,0,0,,10,5
1,45,1,1,68,1,0,0,0,0,0,0,0,0,0,0,0,,16,2
1,45,2,1,53,0,0,0,0,0,0,0,0,0,0,1,0,,16,2
1,45,3,2,38,0,0,0,0,0,0,0,0,0,1,0,0,,10,3
1,45,4,1,60,0,0,0,0,0,0,1,0,0,0,0,0,,25,1
1,45,5,1,68,0,1,0,0,0,0,0,0,0,0,0,0,,15,2
2,46,3,1,67,0,0,0,0,0,0,0,0,1,0,0,0,"prexident des jrunes",37,3
2,46,8,1,64,0,1,0,0,0,0,0,0,0,0,0,0,,18,5
2,46,5,1,68,0,1,0,0,0,0,0,0,0,0,0,0,,29,3
2,46,10,1,70,0,0,1,0,0,0,0,0,0,0,0,0,,22,5
2,46,15,2,62,0,1,0,0,0,0,0,0,0,0,0,0,,33,3
2,46,4,1,71,0,1,0,0,0,0,0,0,0,0,0,0,,29,1
2,46,13,2,35,0,0,0,0,0,0,0,0,0,1,0,0,,33,4
2,46,1,1,75,1,0,0,0,0,0,0,0,0,0,0,0,,33,2
2,46,12,2,66,0,1,0,0,0,0,0,0,0,0,0,0,,34,2
2,46,14,1,54,0,0,0,1,0,0,0,0,0,0,0,0,,28,5
2,46,11,2,54,0,0,0,0,0,0,0,0,0,0,1,0,,28,2
2,46,9,1,69,0,1,0,0,0,0,0,0,0,0,0,0,,31,5
2,46,2,1,70,0,1,0,0,0,0,0,0,0,0,0,0,,33,4
2,46,7,1,67,0,1,0,0,0,0,0,0,0,0,0,0,,27,1
2,46,6,1,75,0,1,0,0,0,0,0,0,0,0,0,0,,30,1
1,47,8,1,56,0,0,1,0,0,0,0,0,0,0,0,0,,56,5
1,47,10,2,66,0,1,0,0,0,0,0,0,0,0,0,0,,55,2
1,47,3,1,67,0,0,0,0,0,0,1,0,0,0,0,0,,64,1
1,47,6,1,76,0,1,0,0,0,0,0,0,0,0,0,0,,76,2
1,47,2,2,63,0,0,0,0,0,0,0,0,0,0,1,0,,63,4
1,47,7,1,66,0,1,0,0,0,0,0,0,0,0,0,0,,66,1
1,47,9,1,48,0,0,1,0,0,0,0,0,0,0,0,0,,48,5
1,47,4,1,37,0,0,0,0,0,0,0,0,0,1,0,0,,37,2
1,47,1,1,48,1,0,0,0,0,0,0,0,0,0,0,0,,48,4
1,47,5,1,58,0,0,0,0,0,0,0,0,0,0,1,0,,58,2
2,48,2,1,37,0,0,0,0,0,0,1,0,0,0,0,0,,37,2
2,48,4,2,60,0,1,0,0,0,0,0,0,0,0,0,0,,42,3
2,48,3,2,69,0,0,0,0,0,0,0,0,0,0,1,0,,47,3
2,48,1,1,62,1,0,0,0,0,0,0,0,0,0,0,0,,62,2
2,48,5,2,69,0,1,0,0,0,0,0,0,0,0,0,0,,50,1
1,49,2,1,62,0,1,0,0,0,0,0,0,0,0,0,0,,62,3
1,49,3,1,61,0,0,1,0,0,0,0,0,2,0,0,0,"syndicaliste",61,5
1,49,1,1,70,1,0,0,0,0,0,0,0,2,0,0,0,"policies en retraite",57,2
2,50,2,2,36,0,0,0,0,0,0,0,0,0,1,0,0,,22,4
2,50,3,2,60,0,1,0,0,0,0,0,0,0,0,0,0,,30,1
2,50,7,2,59,0,1,0,0,0,0,0,0,0,0,0,0,,15,1
2,50,1,1,80,1,0,0,0,0,0,0,0,0,0,0,0,,42,1
2,50,5,1,51,0,0,0,0,0,0,1,0,0,0,0,0,,51,2
2,50,4,1,65,0,1,0,0,0,0,0,0,0,0,0,0,,50,1
2,50,6,2,43,0,0,0,0,0,0,0,0,0,0,1,0,,21,2
1,51,5,1,33,0,0,0,0,0,0,0,0,0,1,0,0,,33,5
1,51,10,1,36,0,1,0,0,0,0,0,0,0,0,0,0,,36,5
1,51,6,2,47,0,0,0,0,0,0,0,0,0,0,1,0,,45,3
1,51,13,2,55,0,1,0,2,0,0,0,0,0,0,0,0,,55,5
1,51,8,2,58,0,0,0,0,0,0,0,0,0,0,1,0,,56,2
1,51,15,2,59,0,0,0,0,0,0,0,0,0,0,1,0,,59,3
1,51,11,1,39,0,0,1,0,0,0,0,0,0,0,0,0,,39,5
1,51,12,2,32,0,0,0,0,0,0,0,0,0,0,0,1,,32,5
1,51,2,2,38,0,0,0,0,0,0,0,0,0,1,0,0,,38,4
1,51,1,1,73,1,0,0,0,0,0,0,0,0,0,0,0,,58,1
1,51,7,2,61,0,0,0,0,0,0,0,0,0,0,1,0,,54,2
1,51,14,1,33,0,0,0,0,0,0,0,0,1,0,0,0,"President Asoociation des jeunes",33,4
1,51,9,2,29,0,0,0,0,0,0,0,0,0,1,0,0,,29,5
1,51,3,2,27,0,0,0,0,0,0,0,0,0,1,0,0,,27,4
1,51,4,2,29,0,0,0,0,0,0,0,0,0,1,0,0,,29,5
2,52,3,1,29,0,0,0,0,0,0,0,0,1,0,0,0,"President  des jeunes du quartier",15,5
2,52,8,2,59,0,1,0,0,0,0,0,0,0,0,0,0,,45,1
2,52,4,2,49,0,1,0,0,0,0,0,0,0,0,0,0,,30,2
2,52,7,1,51,0,1,0,0,0,0,0,0,0,0,0,0,,50,2
2,52,1,1,62,1,0,0,0,0,0,0,0,0,0,0,0,,50,2
2,52,2,1,63,0,0,0,0,0,0,0,0,1,0,0,0,"adjoint dellegue",60,3
2,52,5,2,50,0,0,0,0,0,0,0,0,0,0,1,0,,50,3
2,52,6,1,44,0,0,0,0,0,0,1,0,0,0,0,0,,28,1
1,53,3,2,49,0,0,0,1,0,0,0,0,0,0,0,0,,49,4
1,53,10,2,30,0,0,0,0,0,0,0,0,0,1,0,0,,30,4
1,53,8,2,45,0,1,0,0,0,0,0,0,0,0,0,0,,45,1
1,53,7,2,53,0,0,0,0,0,0,0,0,0,0,1,0,,45,2
1,53,1,1,39,1,0,0,0,0,0,0,0,0,0,0,0,,39,2
1,53,9,2,32,0,0,0,0,0,0,0,0,0,1,0,0,,2,4
1,53,6,2,40,0,1,0,0,0,0,0,0,0,0,0,0,,8,3
1,53,4,1,75,0,0,0,0,0,0,1,0,0,0,0,0,,15,2
1,53,5,2,62,0,1,0,0,0,0,0,0,0,0,0,0,,30,2
1,53,2,1,42,0,0,0,0,0,0,0,0,0,0,0,1,,42,5
2,54,2,1,65,0,0,0,0,0,0,1,0,0,0,0,0,,28,5
2,54,1,1,75,1,0,0,0,0,0,0,0,0,0,0,0,,38,1
2,54,5,2,56,0,1,0,0,0,0,0,0,0,0,0,0,,30,1
2,54,3,2,52,0,0,0,0,0,0,0,0,0,0,1,0,,25,2
2,54,4,1,70,0,1,0,0,0,0,0,0,0,0,0,0,,23,1
1,55,12,1,75,0,1,0,0,0,0,0,0,0,0,0,0,,20,1
1,55,8,1,61,0,1,0,0,0,0,0,0,0,0,0,0,,20,2
1,55,10,1,71,0,1,0,0,0,0,0,0,0,0,0,0,,29,3
1,55,13,1,62,0,0,0,1,0,0,0,0,0,0,0,0,,22,5
1,55,11,1,68,0,1,0,0,0,0,0,0,0,0,0,0,,40,5
1,55,7,1,33,0,0,0,0,0,0,1,0,0,0,0,0,,23,5
1,55,9,2,50,0,0,0,0,0,0,0,0,1,0,0,0,"Groupement feminume",38,3
1,55,1,1,77,1,0,0,0,0,0,0,0,0,0,0,0,,45,3
1,55,14,1,34,0,0,1,0,0,0,0,0,0,0,0,0,,34,5
1,55,2,1,43,0,1,0,0,0,0,0,0,0,0,0,0,,43,4
1,55,3,1,75,0,1,0,0,0,0,0,0,0,0,0,0,,36,3
